id,headline,author,date,year,newspaper,newspaper_code,section,word_count,text
532,Coronavirus crisis renews interest in vertical farming,MURE DICKIE ; EMIKO TERAZONO,2020-08-17,2020,Financial Times,FTFT,Features,933,"Higher productivity of crops grown indoors appeals to British farmers hit by rising costs

The coronavirus pandemic has been a big worry for many British farmers, threatening access to agricultural labour and complicating international supply chains.

But for proponents of indoor farming, the crisis has offered an opportunity.

David Farquhar, chief executive of technology developer Intelligent Growth Solutions, says the pandemic has prompted a spike in interest in ""vertical farms"", where batches of crops can be individually watered, fed and lit using LED lights, allowing them to be grown year-round with minimal labour near their markets, regardless of local soil or weather conditions.

At the company's demonstration farm in Invergowrie near the Scottish city of Dundee, trays of produce stacked in nine-metre-tall towers are managed remotely from seeding to packaging. Humans need to enter the towers only for occasional maintenance. ""You can run it entirely on robotics ... You probably need to go in once every six months,"" Mr Farquhar said.

This higher productivity will have particular appeal to British farmers, who are facing a steep increase in costs because coronavirus restrictions have affected the arrival of seasonal workers from eastern Europe. Brexit may also make it more difficult to access labour from the bloc when the UK's transition period expires at the end of the year.

Colin Campbell, chief executive of the James Hutton Institute, a research organisation that hosts the IGS farm and another vertical farming company, Liberty Produce, said the global food supply system had generally worked well during the pandemic. But he added that the crisis had highlighted worries about food safety and the risks of relying on seedlings or produce grown far away from where it is consumed. ""Covid-19 is making a lot of people rethink how we want to grow our food,"" he said.

While agritech investors have been pouring millions of dollars into vertical farm start-ups in the US and Europe, Irving Fain, founder of US vertical farming firm Bowery Farming, said the pandemic had accelerated interest around the world. ""The simplicity of the supply chain is extremely important,"" Mr Fain said.

IGS sold its first vertical farm in July to an Aberdeenshire venture backed by a founder of craft beer business BrewDog. According to Mr Farquhar, the company last year raised £m from three venture capital firms and the Scottish Investment Bank and could build a fourtower farm that would produce more than 80 tonnes of produce a year for around £.5m.

At the IGS facility in Invergowrie, each tray of produce has its own microclimate, with temperature differences of up to 6C between the trays immediately above or below. The growing tower is accessed through an air lock and plastic curtain barrier, removing the need for chemicals to control pests.

However, many vertical farm start-ups have struggled with the high initial investment for building the facilities and running costs. The sector has been littered with bankruptcies as companies struggling to remain competitive on price have run out of cash.

Niccolo Manzoni of Five Seasons Ventures, a Paris-based agritech venture capital firm, said locally grown fruit and vegetables appealed to consumers. He said producers would also welcome technology that could work in regions such as parts of the Middle East, where conventional farming was impossible, or areas in countries such as China that suffer from serious soil contamination.

Mr Manzoni said the investment case for vertical farms suffered by comparison with open field production. ""In an open field, you have the sun for free. In a vertical farm, the electricity bill is very high,"" he said. ""It only makes sense to operate a [vertical] farm where electricity is dirt cheap or a place where energy is being heavily subsidised.""

But Graeme Warren, chief executive of Aberdeenshire-based Vertegrow, said the company expected the four-tower facility that will be built for it by IGS this year to quickly start paying for itself.

""When the facility is fully operational and the four towers are operating at capacity, then it should be profitable at that point,"" Mr Warren said. ""We wouldn't be going into this project if we didn't think we would be cash positive in the not so distant future."" Because of the relatively high costs of vertical farms, it makes sense to grow high-margin crops rather than commodities like bulk grains or cereals. Martin Dickie, founder of Vertegrow and co-founder of Brew-Dog, said the new facility would grow leafy greens, baby leaves like pak choi, and herbs, such as basil, using only rainwater and without pesticides.

""With Covid, people are really focused on healthy lifestyles and focused on more sustainable plantbased diets, and they want to make sure what they are putting into their bodies are spray-free,"" Mr Dickie said.

The green credentials of vertical farming are undermined by the need for artificial lighting, particularly if the electricity is generated from fossil fuels. But Prof Campbell said this was offset by the reduced need for transport and a reduction in food waste, because crops were of more uniform quality and supply could be matched to demand. And, he added, ""there is likely to be reduced greenhouse gas emissions, because of reduced fertiliser use"".

""[Vertical farming] appears to be very disruptive in the true sense of the word, because it is making people change their ideas of what the food system should be like.""

'[Vertical farming makes] people change their ideas of what the food system should be like'"
533,Memorial f-word ad,,2020-09-06,2020,The Sun,THESUN,News,84,"A BREWERY has come under fire after an advert hoarding saying ""f*** you"" was placed next to a city's cenotaph.

Councillor Thomas Kerr said families of the fallen heroes could be upset by the BrewDog campaign.

The billboard, at Glasgow's George Square, is part of the firm's bid to reduce carbon footprint, stating: ""F*** you CO2.""

Mr Kerr said: ""The language used clearly has potential to cause offence.""

BrewDog, of Ellon, Aberdeenshire, was approached for comment."
534,Risk of failure is the key to success in tech start-ups Ben Spigel,,2020-09-11,2020,The Times,T,News,439,"Anew phase in Scotland's entrepreneurial ecosystem appears to be opening up thanks to the Scottish government accepting suggestions from a businessman who played a central role in one of the country's great tech economy successes.

The Logan Report laid out a road map for supporting the digital economy with the goal of producing more unicorn entrepreneurial firms that grow quickly to be worth more than £ billion. Building globally competitive technology firms is a key part of Scotland's broader economic development efforts, especially now as the Covid pandemic and global decarbonisation efforts will shrink the oil and gas sector and potentially the tourism market as well.

The first tangible outcome of this report, written by Mark Logan, the former chief operating officer with the Skyscanner flight price comparison site, has been the investment of £ million to support five new technology hubs. But do these investments represent a new approach or are they the simply the next iteration of other failed schemes to build a gleaming Silicon Glen? Ironically, if the government wants to succeed at supporting entrepreneurs it must get better at failing. Too often, ambitious plans to support entrepreneurs in new industries have been hamstrung by the need to show high performance by the next election. These programmes try to avoid failures that end up on the front page or are raised in first minister's questions.

But entrepreneurship requires risk, and so does its support. The Logan Report discussed the need for more risk-tolerant policy and it's important that this recommendation is followed. We must be prepared for the failure of the firms these new technology hubs support, and indeed for the hubs themselves to fail. This isn't to say that we should tolerate profligate spending of public money, but instead that the government and support systems need to tolerate risk and accept that the true value of these projects may not be visible for a decade or more.

One of the great shifts this would allow is for the support for technology entrepreneurship to move beyond what we normally consider technology. Some of the biggest recent successes in the Scottish entrepreneurial community have been non-tech firms such as BrewDog and Genius Foods. Because these types of firms require more up-front investment they are riskier, but they also have the potential to create a far larger economic impact. But is the Scottish government willing to take the risk? Ben Spigel is a senior lecturer in entrepreneurship at the University of Edinburgh Business School"
535,Un beerlievable!,DAVID MEIKLE,2020-09-18,2020,The Sun,THESUN,News,339,"THIS'LL BLOW YOUR HEAD OFF..

BREWDOG & RIVALS JOIN FORCES TO MAKE 57% ALE

BREWDOG have launched a staggeringly strong beer boasting an eyewatering ABV of 57.8 per cent. The Scots booze giants teamed up with their German rivals Schorschbrä to create Strength in Numbers.

The tipple costs £8.95 for a 40ml bottle and is about ten times more potent than regular beers.

p It comes after the firms were locked in a battle to produce the world's strongest ale.

bat stronge tical P BREWDOG set the bar with Tactical Nuclear Penguin in 2009 at 32 per cent alcohol by volume then the globe's most lethal beer.

globe' Ger t But the Germans later made a 57 per cent ABV turbocharged version of their SchorschBock ale to snatch the title. Announcing their joint venture, bosses at BrewDog, based in Ellon, near Aberdeen, said: ture, ne ""The time has come to pen another chapter in this epic saga.

""This time, it's one of camaraderie as we join with Schorschbrä for the ultimate collaboration.

""The result is unlike any before you will have had before, or are likely to have again.""

BrewDog said the beer was made using the 'eisbock' method, where the ale is frozen and blocks of ice are removed to leave a concentrated liquid.

Another of its beers which had been maturing in whisky casks for ten years was also blended in.

Though the drink packs a punch it's unlikely Still Game's Boaby the Barman, far left, would sell many bottles thanks to the price tag.

The world's strongest ale is currently fellow Scots firm Brewmeister's Snake Venom, left, which has an ABV of 67.5 per cent and costs £0 for a 330ml bottle.

scottish-sun@the-sun.co.uk

57.8% ABV of new tipple Strength in Numbers

40ml small size of potent £8 booze is sold in bottles b sol

32% percentage strength of previous brew perc stre pre b"
536,Beer firm Elvis KO,,2020-09-19,2020,The Sun,THESUN,News,104,"BEER firm BrewDog has lost a legal battle with Elvis Presley's estate over the name of an ale.

It was barred from registering BrewDog Elvis Juice as a European trademark over claims it breached branding rights relating to the late singer.

The EU Intellectual Property Office ruled: ""The applicant's submission based on the peaceful coexistence of the marks cannot succeed.""

BrewDog won an earlier battle with Elvis Presley Enterprises on UK rights.

Founders Martin Dickie and James Watt changed their names to Elvis to prove it wasn't exclusive.

The Aberdeenshire firm must pay £,068 costs."
537,Brewdog  loses trademark row with Presley estate over 'Elvis Juice' beer,Stuart MacDonald,2020-09-19,2020,The Times,T,News,516,"Brewdog has lost a legal battle with Elvis Presley's estate over the name of one of its bestselling beers.

The company launched its grapefruit and orange flavoured Brewdog Elvis Juice IPA in 2015 and it now has annual sales of £.4 million in the UK alone.

Brewdog was contacted by lawyers from the singer's estate who demanded they change the name of the drink.

The craft brewing company, based in Ellon, Aberdeenshire, won the right to register the name Brewdog Elvis Juice as a trademark in the UK in 2018.

However, it has been denied exclusive rights to the name in Europe, potentially threatening sales on the Continent.

Although Presley died in 1977, his name and likeness have been trademarked by Elvis Presley Enterprises (EPE), which earns millions of dollars every year through a licensing programme that grants the right to manufacture and sell Elvis Presley merchandise worldwide.

EPE objected after Brewdog applied to register the drink name as a trademark for beers to be sold in European countries. The estate said the application overlapped with its registered trademark ""Elvis"" and that people could mistakenly believe that the beer was endorsed by it.

The EU Intellectual Property Office (EUIPO), which rules on trademark disputes, has found in favour of the Presley estate and said the trademark cannot be registered.

The EUIPO said: ""It is clear that the applicant's submission based on the peaceful co-existence of the marks cannot succeed ... No conclusions about a lack of a likelihood of confusion in the market may be drawn from evidence that the applicant markets products bearing the mark in various commercial places.""

It added: ""The board has found that 'Elvis', which is inherently distinctive, is entirely reproduced in the contested sign and is the most distinctive element therein. There exists a likelihood of confusion."" After the row began in 2016, James Watt and Martin Dickie, founders of Brewdog, changed their names by deed poll to Elvis in an effort to prove the name was not exclusive. They insisted that their beer had no connection to the rock-and-roll star and suggested that there ought to be ""a little less conversation and more time enjoying our beer"".

The latest ruling means that Brewdog may have to alter the name or apply to the Presley estate for official permission to use it, although it can still appeal to the EU's General Court. Brewdog has been ordered to pay £,068 costs in the case. In evidence to the EUIPO, Brewdog said Elvis Juice was the third most popular craft beer in the UK and famous in its own right, adding that the trademarks were ""very different"" as the drink name contained the additional words ""Brewdog"" and ""Juice"".

Mr Watt and Mr Dickie, who were at school together in Aberdeenshire, started Brewdog in 2007 with a bank loan and a grant from the Prince's Trust. The company has been valued at up to £ billion.

Brewdog was approached for comment."
538,How the Granite City built a reputation for cool charm,,2020-09-19,2020,The Times,T,News,820,"Aberdeen is enjoying a renaissance, thanks in part to a £5 million facelift for the city's Victorian art gallery and a thriving festival scene. Marc Horne breathes it all in

The past few months have not been plain sailing for Aberdeen, a city with salt in its veins and granite at its core.

Last month it was dragooned into a strict three-week lockdown but true to its proud maritime heritage, it weathered the storm and is open for business again.

For much of the past century Aberdeen was a thriving holiday resort. The author of a city guidebook from 1950, who clearly did not get the memo that Aberdonians are meant to be happier sounding a foghorn than blowing their own trumpet, wrote: ""A poem in granite, a translucent pearl set in platinum, a visit to the silver city with the golden sands will produce a feeling of exhilaration seldom experienced!"" Carefree holidaymakers frolicked in the North Sea, but in the 1970s, knotted handkerchiefs were replaced by Texan stetsons as oil was discovered off the coast and it became an unlikely boom town. The arrival of oil men and their generous expense accounts meant tourism was all but forgotten. Now Aberdonians are dusting down the welcome mat again. This time, however, Europe's oil capital is marketing itself as a cultural powerhouse.

At the heart of this renaissance is the city's art gallery (free; www.aagm.co.uk), a grand Victorian treasure house that reopened late last year after a £5 million facelift. The number of items on display has trebled and there are 19 galleries, compared with the previous 11, as well as a stunning new roof terrace.

Highlights include works by Monet, Tracey Emin, Henry Moore, Francis Bacon and Gilbert & George, as well as Edwin Landseer's Flood in the Highlands, a work that fascinated and terrified me when I first saw it as a small boy. I was impressed by the V&A in Dundee, but Aberdeen's gallery is superior in almost every measure. It makes Glasgow's Gallery of Modern Art seem dowdy, neglected and provincial.

The displays continue throughout the city thanks to the success of the street art festival Nuart Aberdeen. On almost every corner the grey granite is adorned with towering images of unicorns, leopards and even marauding gulls. My favourite is Gallus Quines & Deeds Not Words, mosaics on St Nicholas Lane that lionise the city's female luminaries such as Annie Lennox, Emeli Sandénd the suffragette leader Caroline Phillips.

Nuart and Aberdeen's October comedy festival are in Covid hibernation this year, but the city still has festivals celebrating everything from jazz (March 12 to 24; aberdeenjazzfestival.com) and Granite Noir (February 20 to 23; granitenoir.com), to craft beer (February 20 to 24; aberdeencamra.org.uk) and dolphins (April dates and website TBC).

As for Aberdeen's dolphins the harbour shelters the largest bottlenosed dolphins on the planet Torry Battery is the best place to see them. Diners at the Silver Darling seafood restaurant overlooking the harbour (mains about £8; thesilverdarling.co.uk) also often see dolphins and seals from their tables.

A stone skim away is Footdee (pronounced Fittie), an eccentric and charming community of colourful and ramshackle fishermen's cottages. It's also the gateway to the beach with its amusement park and waterfront café serving lurid knickerbocker glories and rowies (aka butteries), a delicacy that has been described as a ""roadkill croissant"".

For more sophisticated dining, wind your way to Cafe 52 (mains £0; cafe52onthegreen.co.uk), a grotto-like city centre restaurant packed with charm and whimsical art, much of it created by the owner, Steven Bothwell. His 83-year-old mother, ""Mrs B"", creates each irresistible dessert from local ingredients, many grown in her garden.

History enthusiasts will be beguiled by the warren of medieval cobbles and cloisters, while hopheads will find a host of native craft brew bars including Fierce Beer, Six Degrees North and Brewdog, which launched its global empire in the city and opened six hipster rooms (aka Kennels) in November in Castlegate (B&B doubles from £5; brewdog.com).

In a handsome former university building between the art gallery and a glorious Edwardian theatre, the boutique Sandman Signature hotel pays homage to its host city with images of red squirrels, highland cows and seagulls in its lifts and a showpiece neon art installation stating ""Gie's a bosie"" (Aberdeen-speak for ""give me a cuddle"").

Lewis Grassic Gibbon, the author of Sunset Song, once likened life in Aberdeen to ""passing one's existence in a refrigerator"" but 21st-century visitors will be delighted to find that the writer was almost right: it's very cool indeed. Marc Horne was a guest of Visit Aberdeenshire and Sandman Signature Aberdeen (doubles from £7, B&B; sandmansignature.co.uk)"
539,Pubs with grub still serving in the capital,NICOLA BARDON,2020-09-23,2020,The Sun,THESUN,News,289,"WHILE the rest of the country can now enjoy a socially distanced pint in their favourite pub without a € meal, the capital continues its lockdown.

Until at least October 10, bars will no longer be able to serve food inside.

They can remain open for takeaway and delivery, or if they have an outdoor dining area for sitdown meals. A maximum of 15 customers will be allowed dine in pubs and restaurants for the next three weeks as Coronavirus cases in the capital continue to spiral.

But where can those living in the big smoke head for a catch-up over a pint and a pizza?

Publin.ie have released a list of some businesses that have remained open.

DUBLIN 1 Kimchi Hop House, Rotunda. Wigwam, Middle Abbey St. Bar 1661, Green Street.

DUBLIN 2 The Palace, Temple Bar. Camden Bites and Brews, Camden St.

Davy Byrnes, Duke St. Hucks, Camden Place. Fitzsimons, Temple Bar. Bankers Bar, Trinity Street. The Swan, Aungier Street. Lemon & Duke, Duke Lane Upr. Toner's, Baggot St Lower. Brewdog, Capital Dock. Porterhouse Central, Nassau St. Lost Lane, off Grafton Street. The Globe, South Great George Street.

DUBLIN 4 The Bath, Bath Avenue. The 51, Haddington Road. The Bridge, Ballsbridge. Gasworks, Grand Canal St. Waterloo Bar, Baggot St Upr.

DUBLIN 6 Mother Reillys, Rathmines. Farmer Browns, Clonskeagh Rd. Blackbird, Rathmines.

DUBLIN 7 Hedigans/Brian Boru, Phibsborough.Oscars, Smithfield.

The Belfry, Stoneybatter. Bernard Shaw, Phibsborough. L Mulligan, Stoneybatter.

DUBLIN 8 Rascals, Inchicore.

DUBLIN 9 Tolka House, Glasnevin.

OTHERS: Cherrytree pub,

Dublin 12. The Kestrel Pub, Dublin 12. Villager Pub, Dublin 20. Old Punch Bowl, Blackrock. Blue Light, Dublin 18.

Fowler's No 12, Malahide."
540,The home brewing kit that's as easy as a Nespresso,Phil Robinson,2020-10-01,2020,The Times,T,News,782,"My first attempt at home brewing was about five years ago, and it didn't end well. The idea was to make fizzy ginger beer, just without the benefit of equipment, a recipe or the right ingredients. I grated a kilo of ginger, scarified some lemons and poked all the mush into a vast mineral water bottle along with half a bag of sugar and enough baker's yeast to clear a drain. After topping it off with water, I set the hooch out on my back deck to mature, then promptly forgot all about it.

Three days later the bottle exploded, cannoning halffermented ginger spew all over next door's newly decorated extension. Their rabbit, whose hutch faced our fence like a soldier on the North Korean border, was collateral damage. The neighbours came home from work to find a seemingly binge-drunk bunny with a thousand-yard stare.

Well that was then. Now a Walthamstow-based start-up called the Greater Good Fresh Brewing Co has created the Pinter, a machine that threatens to simplify home brew in the same way Nespresso simplified coffee: no more nerdy pamphlets, tedious recipes or garages stacked with more equipment than the Unabomber. For £5 the company will send you a bit of kit that does everything from brewing to conditioning and makes ten pints in just seven days. Once the beer is ready, you clip on a tap and pour fresh draft beer direct from your fridge perfect for that post-pub 10pm lockdown drink-up with your pals. (I'm JOKING!) On unpacking the box, the first thing that strikes me is how well designed and simple the set-up is. The clutter I would normally associate with home brewing is absent there are no thermometers, tubes or bottles. The online video instructions are brief and the kit comes with two Pinter Packs, the ingredients you need to make 20 pints of booze. All that I require to finish the job is a sink, some running water and a fridge.

After tipping a small bottle of purifying granules into the Pinter and sloshing it around its internal organs I gave mine an extra rinse because some of the granules didn't appear to dissolve completely, and cleanliness is a vital factor in brewing the machine is prepped with one of a selection of the ""fresh presses"". These letterbox-size rectangular bottles can be ordered on a monthly delivery service (ten pints for £2!).

Each syrupy press be it cider or beer is the result of the complex process of malting, kilning, milling and mashing by the manufacturer's master brewer (he has an MSc in brewing science). I chose Public House IPA, which smells quite wonderful, like a brewery crossed with miso paste, and chugged the contents of the bottle into the Pinter. After this I added a small bottle of brewer's yeast and ten pints of water. The final step is to give the whole thing a shake. Sadly, doing this with ten pints is physically taxing enough to rule out the Pinter as a Christmas gift for the mother-in-law.

So how good is it? While waiting for my brew (I'm calling it Lockdown 2: Electric Boogaloo) I tried some bottled samples that I'd been sent by Pinter's manufacturer to demonstrate the quality of the range. Beers include Stars and Stripes, an American IPA; Craftwerk, a pilsner; and Fresh Republic, a continental lager.

The result was surprising. Stars and Stripes, an American-style pale ale, is a lively pint that is more than equal to the beer you find in most pubs. It's refreshing and citrusy without the aggressive tropical fruit hit you get from so many try-hard craft IPAs. I generally prefer something a little less cloudy, but this apparently happens if you leave your brew to condition a little longer. I look at my Pinter forlornly: only seven days to go.

After four days I release some pressure from the Pinter, attach the beer tap and make room in my fridge by clearing out a multitude of salad bags. After three more days of fridge conditioning the beer is finally ready to drink; it is dark and hoppy with a luxurious meringuelike head and drinks like Brewdog's Nanny State, just with added booze. Rather satisfactorily, it feels as if I have done nothing at all. The only thing I have to do now is convince the wife and kids to go without fresh food while I work my way through the other nine pints. thegreatergood.co.uk"
541,CROWDFUNDERS IN £40M TIE-UP,,2020-10-06,2020,Daily Mail,DAIM,City,85,"TWO of Britain's biggest crowd-funding platforms are set to merge to create a £40m firm.

Crowdcube and Seedrs, which are both loss-making, allow entrepreneurs to raise money from the public by selling shares online.

Brewdog and Monzo bank started out on Crowdcube, while Revolut bank and Chapel Down wine raised money with Seedrs. But experts worry a merger could drive down competition. Oliver Kicks, of RLC Ventures, said: 'It leaves fewer choices for entrepreneurs'.

©aily Mail"
542,Two's company as Crowdcube and rival Seedrs agree to merger,James Hurley,2020-10-06,2020,The Times,T,News,554,"Britain's leading equity crowdfunding platforms are set to join forces after Crowdcube agreed a deal to acquire Seedrs.

The merger will allow the two lossmaking services to cut costs and, the companies said, to deliver new services to investors and companies.

Crowdcube and Seedrs pioneered the equity crowdfunding industry, which allows ordinary investors to buy shares in companies in their early stages for as little as £0. Since 2011, £ billion has been invested via campaigns on Crowdcube and Seedrs, with more than 1,500 companies securing funds, including Brewdog, the craft beer business, and Revolut, the financial services start-up that is now valued at more than $5 billion.

The platforms said that their planned merger, which is subject to regulatory approval, would create ""one of the world's largest private equity marketplaces"".

However, returns for crowdfunding investors generally have been disappointing and both platforms have faced questions about due diligence standards, inaccurate claims and optimistic valuations from fundraising businesses, as well as allegations of poor treatment of investors.

Crowdcube made a pre-tax loss of £.6 million in 2019 and has built up accumulated losses of £3.1 million. In 2018, the most recent year for which accounts are available, Seedrs made a pre-tax loss of £.3 million, with accumulated losses of £5.2 million. Seedrs also has warned that the number of fundraising campaigns going live and the volumes of investments have slowed as a result of the Covid-19 pandemic.

The difficulties that the platforms have had in proving the viability of the model is reflected in their modest valuations, with Crowdcube valued at £4 million and Seedrs at £6 million at their latest fundraising rounds.

The merger will be structured as an acquisition by Crowdcube of all the outstanding share capital of Seedrs Limited via a scheme of arrangement, a deal structure often used in takeovers and company debt restructurings. Existing Crowdcube shareholders will own 60 per cent of the combined company, with the remainder owned by backers of Seedrs.

Darren Westlake, 51, chief executive of Crowdcube, said: ""Equity crowdfunding has redefined how many ambitious businesses raise investment and engage with their customers.""

Jeff Kelisky, 55, chief executive of Seedrs, said: ""We believe that you need to be a player of greater scale to serve companies and the investors who support them.""

Mr Kelisky will be chief executive of the combined company and Mr Westlake will be its executive chairman. Rob Murray Brown, 60, a critic of standards in the industry, said that the merger would merely extend the life of the platforms but would not alter the fundamentals. ""They are in a sense a reflection of so many of the zombies they help to fund,"" he said.

One industry insider said that the merger made sense as it may help to stem losses, but it would not on its own tackle problems with the business model, including a lack of quality among fundraising companies.

However, David Brear, 39, chief executive of 11:FS, a financial technology consultancy, said: ""My hope would be that this merger could lead to a really interesting secondary market for pre-[flotation] companies.""

The transaction is subject to approval by competition and financial regulators, as well as shareholders."
543,Enjoy a pizza,,2020-10-10,2020,The Sun,THESUN,Features,619,"MARGHERITA PERONI Peroni Nastro Azzurro, £.50 at Tesco for 4 x 330ml bottles ""A classic Italian pizza and you don't want to overpower the taste with your beer.

Peroni Nastro Azzurro is crisp and clean. It uses malt as an ingredient that makes the beer taste soft and a bit sweet. The sweetness will contrast perfectly with the saltiness of the cheese on the pizza. If you prefer, the alcohol-free Peroni Libera would work just as well.""

ast e er, FLORENTINE ERDINGER WEISSBRAU Erdinger Weissbrau, £.75 for a 500ml bottle at Morrisons ""A Florentine pizza is topped with egg and spinach. All the flavours are very delicate. German wheat beer Erdinger is really creamy with a mousse-like froth and there's very little bitterness. The Erdinger will not overpower the delicate flavours of the pizza. It's a beer for people who say they 'don't like beer'.""

AMERICAN SPUTNIK PALE ALE North Brewing Sputnik American Pale Ale, £ at Tesco for 4 x 330ml cans ""An American pizza is usually covered with Pepperoni. If you pair this with a standard lager, the flavour of the beer will get lost. The Sputnik has tropical fruit and citrus fruit aromas so it won't be drowned out by the meat. Pepperoni is quite fatty but the abundance of hops in the Sputnik will slice right through. A perfect pairing.""

MEAT FEAST INNIS & GUNN ORIGINAL Innis & Gunn Original, £.80 at Tesco for one 330ml bottle ""This is one of very few beers that will work well with heavy flavoured pizza toppings. It's a brew that is fullbodied and aged in oak barrels, which gives it a lovely smoky flavour. This will complement the smokiness of the meat on your pizza, giving your taste buds a real meaty treat.""

SPICY BEEF BREWDOG PUNK IPA BrewDog Punk IPA, £ at Sainsbury's for four 330ml cans ""You can really quench the heat of a spicy meat pizza if you choose a beer packed full of citrus and tropical fruits. The citrus hops in the BrewDog Punk IPA cut through the chilli heat of the pizza, cleansing your palate in readiness for the next mouthful.""

HAM & MUSHROOM WESTMALLE DUBBEL Westmalle Dubbel, £.20 at Waitrose for a 330ml bottle ""Mushrooms have deep, earthy flavours plus you have the saltiness of the ham. Westmalle Dubbel is rich, velvety and packed with fruit cake-like flavours. The earthiness and the saltiness of the ham and mushrooms contrast with this wonderful beer. On your tongue they'll provide a really unique flavour combination.""

HAWAIIAN BEAVERTOWN PALE ALE Beavertown Gamma Ray American Pale Ale, £.25 at Sainsbury's for one 330ml can ""If you like pineapple on your pizza, you need a really fruity beer to bring out the flavour. This is punchy, tropical and juicy and perfectly complements the sweet and salty combination you find on a Hawaiian pizza.""

d"" BBQ CHICKEN BROOKLYN LAGER Brooklyn Lager, £.60 at Asda for one 660ml bottle ""Brooklyn Lager contains lots of toffee and malt, giving it a sweet flavour. I would describe it as having almost Coca Cola-like flavours, which really complement rich, smoky barbecue foods. Perfect if your favourite pizza has a barbecue sauce on the base.""

SEAFOOD HITACHINO NEST WHITE ALE Hitachino Nest White Ale, £.10 at Waitrose for a 330ml bottle ""Cut through the oily tuna without overpowering the flavour of prawns by matching this pizza with a spritzy white ale. Hitachino Nest White offers subtle citrus, nutmeg and orange peel notes which act like a squeeze of lemon on the fish. A superb beer that will complement the delicate seafood tastes."""
544,Drink to the success of smart ideas,,2020-10-12,2020,The Sun,THESUN,Features,726,"Shaf Rasul One in a million shaf@the-sun.co.uk

IT has been an interesting few weeks for the Scottish drinks industry.

While it's undoubtedly negative for the on-trade sector with the Scottish Government's ban on selling booze indoors in pubs and restaurants, there has been a lot of positive news from the off-trade industry, with a number of major commercial investments taking place and two in particular caught my eye.

Just last week, I was incredibly heartened to see the Scottish Borders Council approving plans for two whisky distilleries to be built as part of a £0million complex in the region.

The development, which won unanimous approval for a second time after permissions had previously lapsed, will be based at the former Jedforest Hotel, just south of Jedburgh.

It will not only reinvent the site but, according to developers, hopefully create up to 70 full-time jobs in the area.

Proposed work on the new complex is set to be carried out in two phases with a small distillery constructed first, which will boast a visitor centre, while a larger-scale factory capable of producing millions of bottles every year would be completed at a later date.

The transformation of the site into a new state-of-the-art distillery and tourist centre would certainly bring new investment and employment opportunities to the area for many years to come, and this type of economic boost, especially during these difficult times, should be celebrated.

Unemployment figures are undoubtedly set to rise in the coming months. With rural areas in Scotland already feeling the pinch due to a decline in population, as people continue to leave more remote areas and move to cities for work, a project like this will certainly help an already fragile local economy.

I've touched on rural diversification in the past, with farm shops and dining destinations popping up in parts of the country and attracting more visitors to smaller towns and villages who don't normally see much tourist traffic.

Although on a much larger scale, this is another fine example of how these smaller communities can adapt to an ever-changing world and ensure their prosperity for years to come.

It comes as no surprise then that the plans were unanimously voted through, as I am sure that will have been in the back of the councillors' minds when weighing up the submitted proposal.

It's great to see this forwardfor thinking development being proposed, especially during times like these where the Scottish economy (not just in rural locations, but in our big cities too) could take years to recover due to the impact of coronavirus.

It is not just economic performance that Scottish businesses and communities are looking to maximise either, with the news that BrewDog has bought more than 2,000 acres of farmland north of Loch Lomond.

As part of its new Make Earth Great Again plan to improve the company's environmental performance, Brew-Dog will plant one million trees on the site currently used animal grazing and produce one of the largest native woodlands created in the UK for many years.

When the Ellon-based brewer revealed its acquisition of the land a few weeks ago, it promised to dedicate 1,500 acres to native broadleaf trees, and the other 550 acres to peatland restoration, which would act as a natural carbon sink.

It's not the first foray into improving its environmental credentials for the brewing giant, which already employs a number of green measures including capturing CO2 from fermentation and using it to carbonate its beers, recycling brewing waste into dog food and powering production and pubs with wind power. However, with work set to start on the BrewDog Forest early in 2021 and planting to continue for a number of years, it is hoped that their ambitious new site in Scotland will help lower the carbon footprint considerably, reducing carbon emissions from the air.

I applaud the actions of BrewDog.

It is great to see a Scottish company not just paying lip service to its corporate social responsibility and role within society, but actually investing heavily in an innovative idea and new ways of working, which will make a real difference to the communities in which it operates."
545,LIVING WAGE RISE,,2020-11-09,2020,The Sun,THESUN,News,101,"MORE than a quarter of a million workers will get a 20p an hour pay rise today as the Living Wage is increased.

They will now get £.50 an hour nationally and £0.85 an hour in London 78p more than the Government minimum wage.

It is paid voluntarily by 7,000 UK employers including Tate and Lyle, Network Rail, Capital One, Brewdog and Everton FC.

The Living Wage Foundation said: ""Today's new rates will give a boost to hundreds of thousands of workers including key and essential staff who have kept our economy going."""
